renderedContent
"@_asandhu ✊🏽🇮🇳✊🏽
#PunjabElections2022 
“In an agrarian economy, you disrespect intellectuals, those who study, because the money comes from agriculture,” explains author and chronicler of Punjab, #AmandeepSandhu
telegraphindia.com/culture/charan…"
"Mann Mann hoyi payi hai 🔥🔥🔥

#PunjabElections2022  Now it’s 80% or more time that all of them spend on BM and AK."
"@jdhillonA You’re too sweet, JD. But the hard work was done by @sandhulandlord1. I truly appreciate his efforts for translating and tweeting the points from #SSM manifesto.

Also, a great example of using one’s time wisely to help educate oneself and others.

#PunjabElections2022"
"m.youtube.com/watch?v=Zraivo…

An appeal2 #Punjab voters in view of #PunjabElections2022 #PunjabElections #PunjabAssemblyElections2022
#PunjabAssemblyPolls
2elect #Leadership4Punjab which is capable of taking #Punjabi s out of the present #political #economic #social &amp; #cultural ceises"
"Let us elect a govt that focuses on Education, Health, Unemployment, Agriculture, Infra &amp; Poverty, a govt that assesses what needs to be done better, a govt that acknowledges its failures, a govt that eradicates corruption #VoteWisely #AssemblyElections2022 #PunjabElections2022"
"Lot of info in the thread👇🏼starting with industrial development &amp; trade

Please read &amp; educate yourself/others before you vote! Your and Punjab’s future depends on it!

#PunjabElections2022 
#SSM"
"Right to recall—to take the power away from those who misuse it or take it for granted. Punjab and its people have suffered enough.

#PunjabElections2022 #SSM"
"Education is a fundamental right &amp; Punjab really needs to invest more in education to invest in its future. Handouts like free IELTS or relying on NRIs isn’t enough. 
#PunjabElections2022 #SSM"
"Healthcare needs major reform in PB. Tag your candidate and ask them how they are planning to address healthcare in Punjab. Why is the cancer rate so high?

#PunjabElections2022 #SSM"
"Distribution of river waters

#PunjabElections2022 
#Helsinki #SSM"
"Educate yourself and ask candidates how they plan to help increase farmers’ income.

#SSM #PunjabElections2022"
"How #SSM plans to help farmers👇🏼

Who else knows more about farmers &amp; their issues than the farmers themselves.

#PunjabElections2022 #VoteForSSM"
"Compiling a thread of tweets related to #SSM manifesto.

I really hope you’ll pick candidates based on their qualifications &amp; ideas, not mere handouts or political affiliation.

Change is possible if we vote for the right candidates.
#PunjabElections2022 #VoteWisely
@SinghSwaiman"
"Dear Punjab,
Do not fall for the trap.
Do NOT forget farm laws which took so many lives of the innocents. 
#PunjabElections2022"
"Punjab Women Commission chairperson Manisha Gulati joins BJP ahead of Assembly polls

#PunjabElections2022 https://t.co/17SmbU6nDI"
