,bjp Positive count,bjp Negative count,bjp Neutral count,bjp Total count,inc Positive count,inc Negative count,inc Neutral count,inc Total count,aap Positive count,aap Negative count,aap Neutral count,aap Total count,samajwadi Positive count,samajwadi Negative count,samajwadi Neutral count,samajwadi Total count,bsp Positive count,bsp Negative count,bsp Neutral count,bsp Total count,bjp Positive Sum,bjp Negative Sum,bjp Total Sum,inc Positive Sum,inc Negative Sum,inc Total Sum,aap Positive Sum,aap Negative Sum,aap Total Sum,samajwadi Positive Sum,samajwadi Negative Sum,samajwadi Total Sum,bsp Positive Sum,bsp Negative Sum,bsp Total Sum
ndtv,62.0,14.0,0.0,76.0,72.0,4.0,0.0,76.0,35.0,0.0,0.0,35.0,7.0,0.0,0.0,7.0,2.0,0.0,0.0,2.0,9.419696969696968,-3.0333333333333337,6.386363636363635,8.7758658008658,-1.2333333333333334,7.5425324675324665,7.822727272727274,0.0,7.822727272727274,0.40909090909090906,0.0,0.40909090909090906,0.13636363636363635,0.0,0.13636363636363635
CNNnews18,114.0,19.0,0.0,133.0,81.0,14.0,0.0,95.0,16.0,4.0,0.0,20.0,19.0,4.0,0.0,23.0,3.0,1.0,0.0,4.0,14.510292207792206,-3.043055555555556,11.46723665223665,8.596029942279943,-2.638690476190476,5.957339466089467,1.35,-0.49464285714285716,0.8553571428571429,2.109848484848485,-0.7124999999999999,1.397348484848485,0.1,-0.05,0.05
republic,199.0,22.0,0.0,221.0,148.0,24.0,0.0,172.0,51.0,11.0,0.0,62.0,20.0,1.0,0.0,21.0,19.0,6.0,0.0,25.0,12.930227272727276,-7.874305555555556,5.05592171717172,6.754015151515151,-10.274999999999999,-3.520984848484847,5.5006493506493515,-3.1,2.4006493506493514,2.435714285714286,-0.5,1.935714285714286,0.2,-1.8916666666666668,-1.6916666666666669
IndiaToday,156.0,18.0,0.0,174.0,115.0,8.0,0.0,123.0,30.0,4.0,0.0,34.0,20.0,5.0,0.0,25.0,9.0,0.0,0.0,9.0,23.315227272727277,-4.069444444444445,19.245782828282834,11.02537878787879,-2.2795454545454548,8.745833333333335,2.618181818181818,-1.9,0.7181818181818183,0.35000000000000003,-0.375,-0.024999999999999967,0.25,0.0,0.25
ZeeNewsEnglish,46.0,6.0,0.0,52.0,37.0,1.0,0.0,38.0,35.0,3.0,0.0,38.0,1.0,0.0,0.0,1.0,3.0,2.0,0.0,5.0,3.6390151515151508,-1.1222222222222222,2.5167929292929285,2.35,-0.1,2.25,5.339393939393939,-1.15,4.1893939393939394,0.0,0.0,0.0,0.25,-0.25,0.0
