,bjp Positive count,bjp Negative count,bjp Neutral count,bjp Total count,inc Positive count,inc Negative count,inc Neutral count,inc Total count,aap Positive count,aap Negative count,aap Neutral count,aap Total count,samajwadi Positive count,samajwadi Negative count,samajwadi Neutral count,samajwadi Total count,bsp Positive count,bsp Negative count,bsp Neutral count,bsp Total count,bjp Positive Sum,bjp Negative Sum,bjp Total Sum,inc Positive Sum,inc Negative Sum,inc Total Sum,aap Positive Sum,aap Negative Sum,aap Total Sum,samajwadi Positive Sum,samajwadi Negative Sum,samajwadi Total Sum,bsp Positive Sum,bsp Negative Sum,bsp Total Sum
ndtv,62.0,14.0,0.0,76.0,72.0,4.0,0.0,76.0,35.0,0.0,0.0,35.0,7.0,0.0,0.0,7.0,2.0,0.0,0.0,2.0,4.61179292929293,-1.9619097222222224,2.6498832070707077,4.470476346645177,-0.6399999999999999,3.8304763466451774,3.308863636363636,0.0,3.308863636363636,0.20454545454545453,0.0,0.20454545454545453,0.06818181818181818,0.0,0.06818181818181818
CNNnews18,114.0,19.0,0.0,133.0,81.0,14.0,0.0,95.0,16.0,4.0,0.0,20.0,19.0,4.0,0.0,23.0,3.0,1.0,0.0,4.0,9.026602469500197,-1.5396296296296297,7.4869728398705675,5.556890895356715,-1.5188438917233562,4.038047003633359,0.37111111111111106,-0.280562287414966,0.09054882369614503,0.9322635445362719,-0.29317708333333337,0.6390864612029385,0.04000000000000001,-0.0037500000000000007,0.036250000000000004
republic,199.0,22.0,0.0,221.0,148.0,24.0,0.0,172.0,51.0,11.0,0.0,62.0,20.0,1.0,0.0,21.0,19.0,6.0,0.0,25.0,7.151449523645546,-5.806032021604938,1.3454175020406076,4.5069422214569945,-7.65234375,-3.1454015285430055,3.4623491173328835,-1.749375,1.7129741173328836,1.1702834467120182,-0.15,1.0202834467120183,0.06000000000000001,-1.181875,-1.121875
IndiaToday,156.0,18.0,0.0,174.0,115.0,8.0,0.0,123.0,30.0,4.0,0.0,34.0,20.0,5.0,0.0,25.0,9.0,0.0,0.0,9.0,13.145698438388214,-1.8503742283950617,11.295324209993153,5.738101899678605,-1.5841398836853382,4.153962015993267,1.4627861952861954,-1.24,0.22278619528619537,0.12166666666666667,-0.1063888888888889,0.015277777777777779,0.1125,0.0,0.1125
ZeeNewsEnglish,46.0,6.0,0.0,52.0,37.0,1.0,0.0,38.0,35.0,3.0,0.0,38.0,1.0,0.0,0.0,1.0,3.0,2.0,0.0,5.0,2.0921971131772263,-0.41697530864197535,1.675221804535251,1.1058333333333334,-0.010000000000000002,1.0958333333333334,3.525975474441384,-0.8741666666666668,2.6518088077747173,0.0,0.0,0.0,0.08333333333333333,-0.11083333333333334,-0.02750000000000001
